reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.975,75.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,04,quantile,0.99,78.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.01,2.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.025,29.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.05,38.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.1,42.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.15,43.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.2,45.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.25,47.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.3,49.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.35,50.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.4,52.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.45,52.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.5,53.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.55,53.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.6,53.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.65,54.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.7,56.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.75,57.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.8,58.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.85,67.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.9,68.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.95,74.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.975,78.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,05,quantile,0.99,100.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.01,2.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.025,38.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.05,149.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.1,282.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.15,290.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.2,298.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.25,331.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.3,338.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.35,341.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.4,378.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.45,381.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.5,387.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.55,396.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.6,397.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.65,399.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.7,414.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.75,416.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.8,417.0
2026-01-17,wk inc rsv hosp,0,2026-01-17,06,quantile,0.85,423.0
