reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.01,1.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.025,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.05,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.1,2.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.15,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.2,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.25,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.3,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.35,3.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.4,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.45,4.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.5,5.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.55,5.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.6,6.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.65,7.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.7,8.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.75,10.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.8,10.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.85,10.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.9,11.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.95,19.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.975,29.0
2026-06-06,wk inc covid hosp,0,2026-06-06,05,quantile,0.99,48.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.01,56.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.025,67.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.05,76.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.1,82.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.15,82.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.2,93.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.25,93.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.3,104.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.35,104.0
2026-06-06,wk inc covid hosp,0,2026-06-06,06,quantile,0.4,104.0
