frames,reward,visited_rooms,learned_transitions
79000000,2683.603949845566,11.0,164.0
80000000,2689.1771600926936,11.0,165.3377907642947
81000000,2694.750370339821,11.0,166.0992807853047
82000000,2700.0,11.0,166.77421950086932
83000000,2700.0,12.0,168.0
84000000,2700.0,12.0,168.0
85000000,2700.0,12.0,169.24008774633333
86000000,2700.0,12.0,170.0
87000000,2700.0,12.0,170.0
88000000,2700.0,12.0,170.0
89000000,2700.0,12.0,170.0
90000000,2700.0,12.0,170.0
91000000,2700.0,12.0,170.0
92000000,2700.0,12.0,170.0
93000000,2700.0,12.0,170.0
94000000,2700.0,12.0,170.0
95000000,2700.0,12.0,171.24156971971027
96000000,2700.0,12.0,172.0
97000000,2700.0,12.0,172.0
98000000,2700.0,12.0,174.05180416767672
99000000,2700.0,12.0,175.0
100000000,2700.0,12.0,176.57715433024967
101000000,2700.0,12.0,178.0
102000000,2700.0,12.0,179.0
103000000,2700.0,12.0,179.0
104000000,2700.0,12.0,179.96970684724093
105000000,2700.0,12.0,180.99390928511104
106000000,2700.0,12.0,181.50224472690113
107000000,2700.0,12.0,183.0
108000000,2700.0,12.0,183.87553877391088
109000000,2700.0,12.0,185.7056678377259
110000000,2700.0,12.0,188.48387806999196
111000000,2700.0,12.0,189.78711354453978
112000000,2700.0,12.0,191.6993651334711
113000000,2700.0,12.0,193.0
114000000,2700.0,12.0,194.0
115000000,2700.0,12.0,194.9621884745523
116000000,2700.0,12.0,196.0
117000000,2700.0,12.0,197.61877291873685
118000000,2700.0,12.0,198.0
119000000,2700.0,12.0,199.0
120000000,2700.0,12.0,199.543379728356
121000000,2700.0,12.0,201.0
122000000,2700.0,12.0,201.0
123000000,2700.0,12.0,201.0
124000000,2700.0,12.0,201.0
125000000,2700.0,12.0,201.0
126000000,2700.0,12.0,201.0
127000000,2700.0,12.0,201.0
128000000,2700.0,12.0,201.0
129000000,2700.0,12.0,202.0
130000000,2700.0,12.0,203.0
131000000,2700.0,12.0,204.98151296433915
132000000,2700.0,12.0,206.0
133000000,2700.0,12.0,208.52476593964118
134000000,2700.0,12.0,211.1502841432479
135000000,2700.0,12.0,213.26124859101768
136000000,2700.0,12.0,214.0
137000000,2700.0,12.0,214.0
138000000,2700.0,12.0,215.0
139000000,2700.0,12.0,216.0
140000000,2700.0,12.0,217.0
141000000,2700.0,12.0,217.0
142000000,2700.0,12.0,217.0
143000000,2700.0,12.0,218.1921455319966
144000000,2700.0,12.0,219.2900681303215
145000000,2700.0,12.0,221.0
146000000,2700.0,12.0,223.0
147000000,2700.0,12.0,223.7116905005107
148000000,2700.0,12.0,225.79248437527355
149000000,2700.0,12.0,226.0
150000000,2700.0,12.0,227.0
151000000,2727.9231161855173,12.0,227.0
152000000,2880.3318895492566,12.0,228.0
153000000,3032.7406629129964,12.0,229.0
154000000,3185.1494362767357,12.0,231.12845674385576
155000000,3337.558209640475,12.0,233.61067376013995
156000000,3489.9669830042144,12.0,235.0
157000000,3642.3757563679537,12.0,235.43483350926016
158000000,3794.7845297316935,12.0,237.0
159000000,3947.1933030954324,12.0,238.15360397680197
160000000,4099.602076459172,12.0,240.0
161000000,4252.010849822911,12.0,241.85821167313554
162000000,4404.419623186651,12.0,243.20407595117425
163000000,4556.828396550391,12.0,245.0
164000000,4709.2371699141295,12.0,245.0
165000000,4861.645943277869,12.0,246.0
166000000,5014.054716641609,12.0,246.0
167000000,5166.463490005348,12.0,246.0
168000000,5318.872263369087,12.0,246.0
169000000,5471.281036732827,12.0,246.0
170000000,5600.731889919869,12.0,246.7635975085351
171000000,5605.440515462656,12.0,247.0
172000000,5610.149141005442,12.0,248.0
173000000,5614.857766548229,12.0,249.36624375823155
174000000,5619.566392091016,12.0,251.4636123737759
175000000,5624.275017633802,12.0,253.67053224953622
176000000,5628.98364317659,12.0,255.83252145286218
177000000,5633.692268719376,12.0,257.9078043544925
178000000,5638.400894262163,12.0,259.8218404822468
