frames,reward,visited_rooms,learned_transitions
149000000,0.0,23.0,232.34845298888555
150000000,0.0,23.0,233.86068373889435
151000000,0.0,24.0,235.2686915756358
152000000,0.0,24.0,236.7430633351695
153000000,0.0,24.0,238.08617401463866
154000000,0.0,24.0,239.17686939182454
155000000,0.0,24.0,240.54530833007152
156000000,0.0,24.0,241.0
157000000,0.0,24.0,242.0
158000000,0.0,24.0,243.32248719754952
159000000,0.0,24.0,245.16561882831837
160000000,0.0,24.0,247.12506438170155
161000000,0.0,24.0,248.0
162000000,0.0,24.0,248.60759964415405
163000000,0.0,24.0,249.0
164000000,0.0,24.0,249.0
165000000,0.0,24.0,249.0
166000000,0.0,24.0,249.0
167000000,0.0,24.0,249.0
168000000,0.0,24.0,249.0
169000000,0.0,24.0,249.0
170000000,0.0,24.0,249.0
171000000,0.0,24.0,249.0
172000000,0.0,24.0,249.0
173000000,0.0,24.0,249.0
174000000,0.0,24.0,249.0
175000000,0.0,24.0,249.0
176000000,0.0,24.0,249.0
177000000,0.0,24.0,249.0
178000000,0.0,24.0,249.0
179000000,0.0,24.0,249.0
180000000,0.0,24.0,249.0
181000000,0.0,24.0,249.0
182000000,0.0,24.0,249.0
183000000,0.0,24.0,249.0
184000000,0.0,24.0,249.0
185000000,0.0,24.0,249.0
186000000,0.0,24.0,249.0
187000000,0.0,24.0,249.0
188000000,0.0,24.0,251.0
189000000,0.0,24.0,253.0
190000000,0.0,24.0,253.0
191000000,0.0,24.0,253.0
192000000,0.0,24.0,254.0
193000000,0.0,24.0,255.0
194000000,0.0,24.0,255.77027635122104
195000000,0.0,24.0,258.0
196000000,0.0,24.0,258.30955772474243
197000000,0.0,24.0,260.6536029893566
198000000,0.0,24.0,262.9090737418563
199000000,0.0,24.0,264.3167571947961
200000000,0.0,24.0,265.0
201000000,0.0,24.0,267.3726828242469
202000000,0.0,24.0,269.535960856006
203000000,0.0,24.0,272.36500794639403
204000000,0.0,24.0,274.1782712694173
205000000,0.0,24.0,276.2985588430005
206000000,0.0,24.0,278.99682990817666
207000000,0.0,24.0,280.3647269436958
208000000,0.0,24.0,282.7906579983444
209000000,0.0,24.0,283.0
210000000,0.0,24.0,284.49193073145517
211000000,0.0,24.0,286.8859206971858
212000000,0.0,24.0,288.881787431013
213000000,0.0,24.0,290.0
214000000,0.0,24.0,291.4514676260258
215000000,0.0,24.0,293.0
216000000,0.0,24.0,293.0
217000000,0.0,24.0,293.05974719833205
