frames,reward,visited_rooms,learned_transitions
174000000,32282.876370089605,32.0,213.0
175000000,32287.715456507314,32.0,213.0
176000000,32292.554542925023,32.0,213.0
177000000,32297.393629342732,32.0,213.0
178000000,32216.601403543376,32.0,213.0
179000000,32035.847085183672,32.0,213.0
180000000,31855.092766823964,32.0,213.0
181000000,31674.338448464256,32.0,213.0
182000000,31493.584130104548,32.0,213.0
183000000,31312.82981174484,32.0,213.0
184000000,31132.075493385135,32.0,213.0
185000000,30951.321175025427,32.0,213.0
186000000,30770.56685666572,32.0,213.9460372515695
187000000,30589.81253830601,32.0,214.80500413405144
188000000,30409.058219946302,32.0,215.67996205424518
189000000,30228.303901586598,32.0,217.4559467334844
190000000,30047.54958322689,32.0,218.21797993160422
191000000,29866.79526486718,32.0,219.08257757867133
192000000,29686.040946507474,32.0,220.0
193000000,29505.286628147765,32.0,220.0
194000000,29324.53230978806,32.0,220.0
195000000,29143.777991428353,32.0,220.0
196000000,28963.023673068645,32.0,220.0
197000000,28782.269354708937,32.0,220.0
198000000,28601.51503634923,32.0,220.0
199000000,28420.760717989524,32.0,220.0
200000000,28447.56167259328,32.0,220.0
201000000,28501.29493248465,32.0,220.0
202000000,28555.028192376012,32.0,220.0
203000000,28608.761452267376,32.0,220.0
204000000,28662.494712158743,32.0,220.0
205000000,28716.227972050106,32.0,220.0
206000000,28769.961231941474,32.0,220.0
207000000,28823.694491832837,32.0,220.0
208000000,28877.427751724204,32.0,220.0
209000000,28931.161011615568,32.0,220.0
210000000,28984.89427150693,32.0,220.0
211000000,29038.6275313983,32.0,220.0
212000000,29092.360791289662,32.0,220.0
213000000,29146.09405118103,32.0,220.0
214000000,29199.827311072393,32.0,220.0
215000000,29253.560570963757,32.0,220.0
216000000,29307.293830855124,32.0,220.0
217000000,29361.027090746487,32.0,220.0
218000000,29414.760350637855,32.0,220.0
219000000,29468.493610529218,32.0,220.0
220000000,29546.060851669787,32.0,220.0
221000000,29657.41254746671,32.0,220.0
222000000,29768.764243263628,32.0,220.0
223000000,29880.11593906055,32.0,220.0
224000000,29991.46763485747,32.0,220.0
225000000,30102.81933065439,32.0,220.0
226000000,30214.17102645131,32.0,220.0
227000000,30325.52272224823,32.0,220.0
228000000,30436.87441804515,32.0,220.0
229000000,30548.226113842073,32.0,220.0
230000000,30659.57780963899,32.0,220.0
231000000,30770.929505435914,32.0,220.0
232000000,30882.281201232832,32.0,220.92458588829388
233000000,30993.632897029755,32.0,222.0
234000000,31104.984592826673,32.0,222.74826516279168
235000000,31216.336288623595,32.0,223.1264461844104
236000000,31327.687984420518,32.0,224.4956822107081
237000000,31439.039680217436,32.0,225.7812747622821
238000000,31550.391376014355,32.0,227.0
239000000,31469.252506967885,32.0,227.41004219330333
240000000,31379.802872462875,32.0,228.0
241000000,31290.353237957865,32.0,229.1990004629236
